t,1M,6M,1.0Y,2.0Y,3.0Y,5.0Y,10.0Y,20.0Y,25.0Y
1,0.05773355354,0.06438190656,0.06714223473,0.06499070545999999,0.06153406099,0.05572294025,0.04086540302,0.033643051040000004,0.03990752479
2,0.057873015658688624,0.06445008301094204,0.06711867361565155,0.06483870527288095,0.06129038902028483,0.05534407966266622,0.04034995094625487,0.03328103292195679,0.03956771775036353
3,0.057972078237456856,0.06449274727886337,0.06708885804984525,0.0647229869193462,0.06112987268367635,0.05515181881481161,0.04029525486101304,0.03361695613224809,0.03966663783220951
4,0.05756850156201011,0.06407747603748623,0.06665002847853496,0.06428126790820833,0.06070763561662931,0.054776780543266464,0.040040208337901464,0.03347054865007368,0.039415524459136125
5,0.05703270817368527,0.06358959691634228,0.06620390036504889,0.06394342872794888,0.060475968347580955,0.05470069405680538,0.040072295257121526,0.033249330148982424,0.03925334221529882
6,0.05800913546425449,0.06451136273386308,0.06705198736522708,0.06469308613616054,0.061155324936859795,0.055265694633629674,0.04046215979319204,0.03364897297060558,0.039759343347530236
7,0.057581193095141106,0.0640740243181598,0.06659583235016618,0.06424944640456258,0.060752854137641546,0.0549696834617987,0.040485065310571715,0.03400184620274919,0.03979793579667217
8,0.05679383126442615,0.0633616886052546,0.065955995492097,0.06377362811324852,0.06043082169789481,0.054876838012350694,0.04058268932751787,0.033784644991745535,0.03961931883222322
9,0.05716132886605275,0.06363999789490407,0.06612701287514847,0.0638029397808953,0.060375030347501565,0.05475067807949518,0.040675157171773016,0.034553282191548365,0.03998017318571954
10,0.05792927344189352,0.06433378948706014,0.06672681420000433,0.0642729278432434,0.06075366209238587,0.05500063421183784,0.04082919689420322,0.034923126509153864,0.04032128254605076
11,0.05832267064894517,0.06470287618105285,0.06705842918318762,0.0645772451986622,0.06105550345983452,0.05531412857778226,0.041217286145433726,0.03543770663475664,0.04074871606549874
12,0.05888324223212113,0.0652058246620889,0.06748363366873145,0.06489389920244643,0.06128781545122623,0.055395696186781106,0.04100973097406243,0.03512045577188276,0.04065424163442809
13,0.05822627463917002,0.06452731060402427,0.06676926051189544,0.06415011323704083,0.06053246655011239,0.05461679314884527,0.04015819809438027,0.03420483055129942,0.03981836297339447
14,0.05851431693344117,0.06472913238588389,0.06686788341382588,0.06411633058881513,0.06042286772343548,0.05445608832904326,0.040264186532864385,0.035025142573711546,0.04018705848722225
15,0.05792201649052392,0.06416447802852603,0.06632439834643909,0.06365077258101533,0.06004376907474798,0.05422295046251692,0.040238963022568415,0.03497993141638409,0.040042252680677425
16,0.05837815641407019,0.06463354261099252,0.06679650587638716,0.06416324904937243,0.06060354221133022,0.05484777574006836,0.04087771168390072,0.03545486629316514,0.0405904982193326
17,0.05808595251757369,0.06434046799724571,0.06649139752764087,0.06387294240873448,0.0603404187346262,0.05462424257186034,0.04066924284660595,0.03516429290951294,0.04033711054817073
18,0.05921469053615737,0.06545789062354783,0.06758388289157825,0.06495334429752918,0.06141972378613489,0.05568417463155903,0.041600877689311686,0.03590503215743465,0.04124402216825108
19,0.05929501761581422,0.0655161426343175,0.06760684120999379,0.06495132801132325,0.06141301223175178,0.05567489284621648,0.04159730307873014,0.03593177353609373,0.04126459616236087
20,0.05904469572038266,0.06529253014548225,0.06740088545888216,0.06480884490509335,0.06133234690693471,0.0556668733825359,0.04153632745262537,0.035546992752488196,0.041060815277963604
21,0.05876265741021859,0.06494451218999697,0.06696931316392168,0.06426951958603058,0.060722187887707155,0.054966852502965936,0.040823069339804195,0.03509752505995141,0.040514694743768266
22,0.05864299963937518,0.06482687107506561,0.06684207790341921,0.06415856904420977,0.0606345036066824,0.054898410946766917,0.04067510125638647,0.03473803351651796,0.04030268554460913
23,0.059250836461458935,0.06537320080837764,0.06730652521863473,0.06450718510484309,0.060889921074806806,0.05498404299913458,0.040426283005119225,0.03434663673652781,0.04017433079666512
24,0.059730529771832803,0.065829498666013,0.06772480623860415,0.06489130358547153,0.061254409613476765,0.055303071364018436,0.04060314084128259,0.03438605750071519,0.04036517764447419
25,0.05977248206813345,0.06583854277388289,0.06768635827384072,0.06480566272704205,0.06114310292211206,0.05515246810407322,0.04039723095993528,0.03420087534221179,0.040213348651136266
26,0.06035917573377069,0.06631011266489016,0.06802280361298974,0.06495374682277617,0.06116625270452328,0.05504795021028872,0.04047504128582157,0.03505982849651935,0.04064009347285593
27,0.06046162131934862,0.0663951523587645,0.06807713539930242,0.06498849165551972,0.06119504099830149,0.05505655037853218,0.04039152870889994,0.03486226029314013,0.04055526149910886
28,0.06055274984026882,0.06650395800730927,0.06819374714495575,0.06515130738470888,0.061403428336296494,0.055310032953905505,0.040551362107913436,0.034701519279427426,0.0405978573859198
29,0.06048715443183507,0.06640754999228092,0.06805625967920102,0.06499091064630023,0.0612543613311072,0.05522772338719634,0.04078362594089034,0.035378890039466995,0.04091344973396484
30,0.060061371942361136,0.0660102050409818,0.06767971045516832,0.06468654978839229,0.06102089990021338,0.05508797314859114,0.04065321918665893,0.03498648552923493,0.0406400199158004
